"sign.s.Control","sign.s.High","sign.s.Low","sign.index","sign.stat","sign.p.value"
1,0,0,1,0.235292459729764,0.416
1,0,1,5,0.130420096921477,0.7855
1,0,0,1,0.349505332673758,0.1216
0,1,1,6,0.260212044719922,0.3565
1,0,1,5,0.225955937427079,0.4697
1,0,0,1,0.0927684399460929,0.8898
1,1,0,4,0.10766735370324,0.8691
NA,NA,NA,NA,NA,NA
1,0,0,1,0.150141547460312,0.7025
0,0,1,3,0.262144479557703,0.3416
0,1,0,2,0.127645129254521,0.8063
1,0,0,1,0.274220301152269,0.2972
NA,NA,NA,NA,NA,NA
1,0,1,5,0.379308285213603,0.0793
1,0,0,1,0.229557363105497,0.4504
1,0,1,5,0.239889128778138,0.3784
1,0,0,1,0.0353341021878527,0.9882
0,1,1,6,0.277683798497726,0.29
0,0,1,3,0.337447277981401,0.1216
0,0,1,3,0.156884934579948,0.644
1,0,0,1,0.377964473009227,0.183
0,0,1,3,0.25515281129963,0.3663
1,0,1,5,0.290916683440098,0.2368
1,1,0,4,0.176618008332435,0.6723
0,1,0,2,0.322440922026823,0.1701
0,0,1,3,0.30997761425342,0.1975
0,0,1,3,0.30126724380728,0.2097
1,1,0,4,0.111734307257307,0.8137
0,0,1,3,0.534208081712873,0.0055
0,1,1,6,0.301720919326796,0.2247
1,0,1,5,0.0542405256576123,0.9592
0,1,1,6,0.247904724956058,0.4112
0,1,0,2,0.196309561646971,0.7451
0,1,0,2,0.0760629491227714,0.9542
1,0,0,1,0.171638870307187,0.6225
1,1,0,4,0.230849017235349,0.4683
0,1,0,2,0.537873509272537,0.0055
1,0,1,5,0.173555015684149,0.6315
0,0,1,3,0.0577157250020761,0.965
1,0,0,1,0.177469366441441,0.5804
0,1,0,2,0.26804613725844,0.3198
0,1,0,2,0.140886243720412,0.7796
0,1,0,2,0.144586726066146,0.7101
0,0,1,3,0.233725444736947,0.6871
1,0,1,5,0.224982278695091,0.4579
0,1,1,6,0.0485918057023295,0.9645
0,0,1,3,0.198839889845085,0.5532
0,1,0,2,0.131132674425884,0.7607
1,0,0,1,0.306277331141938,0.2066
1,0,0,1,0.333933140528484,0.0903
0,1,1,6,0.170097302225025,1
NA,NA,NA,NA,NA,NA
0,0,1,3,0.390295769699616,0.066
1,1,0,4,0.143655216350388,0.7294
1,0,0,1,0.195337247880205,0.5233
0,1,0,2,0.15593623511709,0.7109
0,1,0,2,0.0959478185761833,1
0,1,0,2,0.239045721866879,1
NA,NA,NA,NA,NA,NA
0,0,1,3,0.272192492923246,0.1489
0,1,0,2,0.30428177958203,0.2203
1,1,0,4,0.246566178603477,0.4818
1,0,0,1,0.164336028935749,0.6518
1,0,1,5,0.18904085200694,0.6144
NA,NA,NA,NA,NA,NA
0,1,1,6,0.227116364868754,0.4442
0,1,1,6,0.282343769788524,0.2938
0,1,1,6,0.104887509203753,0.8701
0,0,1,3,0.262612865719445,0.6193
1,1,0,4,0.0930374087407328,0.8578
0,0,1,3,0.0542801336703322,0.962
0,1,0,2,0.239045721866879,1
1,1,0,4,0.204710656287955,0.5065
NA,NA,NA,NA,NA,NA
1,0,1,5,0.125737466687044,0.8185
NA,NA,NA,NA,NA,NA
1,0,1,5,0.202444082544729,0.5975
NA,NA,NA,NA,NA,NA
0,1,0,2,0.21361701147398,0.5107
NA,NA,NA,NA,NA,NA
0,0,1,3,0.378549910113744,0.075
0,1,0,2,0.203684364735468,1
1,0,1,5,0.183597018408631,0.5965
NA,NA,NA,NA,NA,NA
1,1,0,4,0.2130111062539,0.4801
0,1,1,6,0.20716769761626,0.5367
0,0,1,3,0.10236212604926,0.8624
1,0,0,1,0.215819672547592,0.4912
0,1,0,2,0.198029508595335,0.5866
1,0,0,1,0.423141174313993,0.0324
0,1,1,6,0.112996153676392,0.9142
1,0,0,1,0.220066542099584,0.4894
1,1,0,4,0.160116212810917,0.6621
1,1,0,4,0.203097437027651,0.526
1,0,1,5,0.0545463561455695,0.9601
1,1,0,4,0.0628384223606696,0.9598
0,1,1,6,0.16675090557357,0.6246
0,1,1,6,0.549175907870583,0.004
1,0,1,5,0.164426197421784,0.7157
1,1,0,4,0.0377039050536306,0.9699
0,0,1,3,0.18928691516466,0.5975
0,1,0,2,0.068036256479394,0.9406
0,1,0,2,0.310101745569189,0.1934
1,0,0,1,0.265430078925603,0.076
1,1,0,4,0.15698275230542,0.6973
0,1,1,6,0.241566379155678,0.403
NA,NA,NA,NA,NA,NA
0,1,0,2,0.342997170285018,0.316
0,1,1,6,0.170097302225025,1
1,1,0,4,0.169677917644585,0.6342
NA,NA,NA,NA,NA,NA
0,1,1,6,0.141194341008026,0.7192
0,1,0,2,0.147160667588074,0.6964
1,0,0,1,0.262612865719445,0.6339
0,1,1,6,0.0710072557216774,0.9516
1,0,1,5,0.291271964716344,0.2478
1,0,0,1,0.196665295477303,0.5776
1,0,0,1,0.375685574860618,0.0824
0,1,0,2,0.164346943093436,0.6963
0,1,0,2,0.270063215694316,0.3019
1,0,0,1,0.227745000661598,0.4264
NA,NA,NA,NA,NA,NA
0,1,1,6,0.297145770508036,0.2344
1,1,0,4,0.168338403987592,0.715
NA,NA,NA,NA,NA,NA
0,1,0,2,0.1896312307332,0.5631
NA,NA,NA,NA,NA,NA
1,1,0,4,0.219061502029317,0.4398
0,1,0,2,0.132740612794446,0.7927
0,1,0,2,0.357589937881817,0.1385
1,0,0,1,0.467919962918939,0.02
0,1,1,6,0.205075778107399,0.6127
0,0,1,3,0.225097212936366,0.5563
1,0,1,5,0.248276396805839,0.3682
1,0,1,5,0.0677177984850745,0.9267
1,0,1,5,0.26080852712875,0.3332
NA,NA,NA,NA,NA,NA
1,1,0,4,0.180400606147055,1
0,0,1,3,0.191324726799681,0.5498
0,1,1,6,0.343226242329888,0.116
0,1,0,2,0.223232069347328,0.4337
0,1,1,6,0.0414353541970524,0.9868
1,1,0,4,0.245499062951821,0.3811
NA,NA,NA,NA,NA,NA
0,1,1,6,0.0962912997698108,0.8598
0,1,1,6,0.043857392735363,0.9729
1,1,0,4,0.291189192827067,0.2868
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0,0,1,3,0.0542207541381435,0.9905
NA,NA,NA,NA,NA,NA
0,0,1,3,0.30522812686967,0.2193
1,0,0,1,0.507721841120556,0.0103
NA,NA,NA,NA,NA,NA
1,1,0,4,0.29430217042786,0.2389
1,1,0,4,0.426747547191796,0.0334
NA,NA,NA,NA,NA,NA
0,0,1,3,0.122886849955052,0.8376
1,0,1,5,0.226563012160166,0.6478
1,1,0,4,0.102222459458543,0.9369
NA,NA,NA,NA,NA,NA
1,0,0,1,0.374705355700505,0.0797
0,0,1,3,0.0529120256243901,0.9634
0,0,1,3,0.299143986936384,0.2525
0,0,1,3,0.276747345850363,0.2831
1,0,0,1,0.262612865719445,0.6339
1,0,0,1,0.160044910059781,0.7085
NA,NA,NA,NA,NA,NA
0,1,1,6,0.0689225690420572,0.9378
1,0,1,5,0.20391446449325,0.5319
0,1,1,6,0.27524094128159,0.3657
0,1,0,2,0.239045721866879,1
1,0,1,5,0.214194664477361,0.5044
NA,NA,NA,NA,NA,NA
1,1,0,4,0.198390021379833,0.5953
NA,NA,NA,NA,NA,NA
0,0,1,3,0.262612865719445,0.631
1,0,0,1,0.296190172096571,0.2054
0,1,1,6,0.165378063020278,0.7383
0,0,1,3,0.130931770408224,0.7574
0,0,1,3,0.398864807741381,0.0572
0,1,0,2,0.34224750081763,0.1341
0,1,1,6,0.156999220500805,0.6522
NA,NA,NA,NA,NA,NA
0,0,1,3,0.343168931293561,0.0972
0,1,0,2,0.236866839988283,0.4121
0,1,1,6,0.182065020683892,0.5848
0,0,1,3,0.115143810398675,0.87
0,1,1,6,0.320338456209091,0.1734
0,1,1,6,0.0606967920413108,0.988
0,1,0,2,0.0491369345938558,0.9981
1,1,0,4,0.175290291022924,0.7875
0,0,1,3,0.193222300436299,0.5682
0,1,0,2,0.300896738297035,0.2293
0,1,0,2,0.25,0.3748
NA,NA,NA,NA,NA,NA
0,1,0,2,0.10840566959223,0.8275
0,1,0,2,0.239045721866879,1
0,1,0,2,0.17784783469834,0.6399
