"sign.s.Control","sign.s.High","sign.s.Low","sign.index","sign.stat","sign.p.value"
1,0,0,1,0.0427225180441862,0.9692
0,1,0,2,0.354686214356698,0.0955
0,0,1,3,0.0710669054518702,0.9533
1,0,1,5,0.254970294855456,0.354
0,0,1,3,0.354183707441252,0.1162
0,1,0,2,0.234722290956113,0.4138
1,1,0,4,0.130984876140794,0.7825
0,0,1,3,0.183286335214589,0.6282
1,0,0,1,0.125039436690403,0.7976
1,1,0,4,0.32788025818858,0.166
0,1,1,6,0.211454772039115,0.5571
1,1,0,4,0.230238347764838,0.4262
1,0,1,5,0.133764927091756,0.7424
0,1,1,6,0.170097302225025,1
1,0,1,5,0.264260878406827,0.3426
0,0,1,3,0.187510678464585,0.6976
1,0,1,5,0.139296804855091,0.7547
1,0,1,5,0.220298363517296,0.4631
1,0,1,5,0.0482467277766541,0.9591
1,1,0,4,0.144170799399664,0.7341
1,0,0,1,0.264929187356119,0.3165
1,0,0,1,0.0962478440559784,0.8595
1,1,0,4,0.0426411496132892,0.9765
NA,NA,NA,NA,NA,NA
0,1,1,6,0.136270442099587,0.7747
1,0,1,5,0.265953321900706,0.3352
1,0,0,1,0.126780228926864,0.8038
0,0,1,3,0.262612865719445,0.6193
1,0,0,1,0.412022475811348,0.0516
0,1,0,2,0.14532667449796,0.751
0,1,1,6,0.163255787112085,0.7023
0,1,0,2,0.239045721866879,1
1,0,1,5,0.130093701209459,0.7798
1,1,0,4,0.200000615173634,0.6026
0,1,1,6,0.209538824635161,0.5716
0,0,1,3,0.163385798333514,0.658
0,1,0,2,0.307891636402663,0.2063
1,1,0,4,0.193681976295376,0.5462
1,0,0,1,0.0905502435919787,0.8641
0,1,0,2,0.239045721866879,1
0,0,1,3,0.281912963347101,0.2658
1,0,0,1,0.193487347044354,0.547
1,0,1,5,0.0936807935576656,0.8708
1,0,0,1,0.241219560917393,0.3961
0,0,1,3,0.155765751859239,0.6813
1,0,0,1,0.383583531512637,0.0788
1,1,0,4,0.175635505989205,0.6354
0,0,1,3,0.205711424109214,0.5088
0,0,1,3,0.218212483918645,0.5569
0,0,1,3,0.241311794871388,0.409
0,1,0,2,0.239045721866879,1
0,0,1,3,0.267765573150247,0.314
0,1,0,2,0.194078728315137,0.5729
1,1,0,4,0.194934834796689,0.5493
1,0,0,1,0.276078815187116,0.3611
0,1,0,2,0.335598037358143,0.1451
1,1,0,4,0.105071186385654,0.8334
0,0,1,3,0.0799602663078737,0.8999
1,1,0,4,0.215163668358579,0.5802
0,0,1,3,0.357294800505248,0.1779
0,1,0,2,0.17818096012872,0.5985
1,0,0,1,0.0323044832992068,0.9888
0,1,0,2,0.342997170285018,0.319
1,1,0,4,0.20408635496127,0.504
0,1,0,2,0.329186269730548,0.1641
0,1,0,2,0.349898418966224,0.1543
1,0,1,5,0.188982236504614,0.5132
0,1,0,2,0.244099915287809,0.3662
1,1,0,4,0.204696558351238,0.4986
0,0,1,3,0.30316331605491,0.2228
1,0,0,1,0.224804259631468,0.4444
0,0,1,3,0.468078122539817,0.0211
0,1,1,6,0.209717623201965,0.4946
0,1,0,2,0.239045721866879,1
1,0,1,5,0.157932686673721,0.739
0,1,1,6,0.373622682166704,0.0771
1,0,0,1,0.250798198860703,0.3634
0,1,0,2,0.275051970017504,0.3026
0,1,0,2,0.335070267823763,0.1421
1,0,1,5,0.341407537245586,0.1363
1,0,1,5,0.295492272019341,0.1784
0,1,1,6,0.267028223704524,0.312
0,1,0,2,0.338139538938536,0.1423
1,0,0,1,0.105381776438107,0.8425
1,1,0,4,0.175916126058511,0.5884
0,1,0,2,0.312683125024908,0.1664
1,0,1,5,0.118976291665502,0.782
1,0,0,1,0.0741619007872167,0.9189
1,0,0,1,0.17421345454853,0.6279
0,1,0,2,0.216175575167552,0.4696
1,0,1,5,0.227828763684608,0.4343
1,1,0,4,0.08171722091616,0.9139
0,0,1,3,0.328471526738934,0.1731
0,1,0,2,0.239045721866879,1
1,0,1,5,0.149877651207316,0.6963
0,1,0,2,0.218886510987178,0.4821
0,1,0,2,0.304997140665209,0.316
0,0,1,3,0.255113769893425,0.3548
1,1,0,4,0.126673647984535,0.9152
1,1,0,4,0.220863052149693,0.7538
1,1,0,4,0.258015027523902,0.3509
1,0,0,1,0.319207292084809,0.1829
1,0,1,5,0.226167896037068,0.4437
0,1,0,2,0.312262911145624,0.1953
0,0,1,3,0.0973351674543163,0.8486
0,0,1,3,0.193749507386771,0.6331
0,1,0,2,0.0981133296506045,0.8451
0,1,0,2,0.239045721866879,1
1,0,0,1,0.200979605058252,0.5126
1,0,1,5,0.341427879132604,0.13
0,1,1,6,0.238754380232887,0.4287
0,1,0,2,0.215841241593907,0.5659
1,1,0,4,0.191370067082067,0.6052
1,1,0,4,0.0966715793307708,0.8825
0,1,0,2,0.290282537069013,0.24
1,0,1,5,0.386238458126541,0.0708
0,1,0,2,0.250558750393324,0.5373
0,1,1,6,0.0842054881325958,0.8979
1,0,0,1,0.383416145051726,0.018
0,1,0,2,0.323380833381777,0.1801
1,0,0,1,0.0199524898290264,0.9547
0,0,1,3,0.0573095965308449,0.9583
0,1,1,6,0.142938547439759,0.7318
1,0,0,1,0.278682025565977,0.2542
0,0,1,3,0.262652065752075,0.3319
0,1,1,6,0.233997299396441,0.4458
1,1,0,4,0.225505212800083,0.4572
1,0,1,5,0.2181950292767,0.4997
