"T10-1-S","T10-2-S","T11-1-S","T11-2-S","T12-1-S","T12-2-S","T14-1-S","T14-2-S","T15-1-S","T15-2-S","T16-1-S","T16-2-S","T18-1-S","T18-2-S","T20-1-S","T20-2-S","T23-1-S","T23-2-S","T24-1-S","T24-2-S","T7-1-S","T8-1-S","T8-2-S"
"ASV1076",0,0,6.57383340176152,0,5.15344846679841,0,0,3.43091893089488,0,0,0,3.80238010664231,0,0,0,0,0,4.65733668027473,0,0,0,3.82848438527103,0
"ASV1077",0,0,0,4.59737496356782,0,0,5.95626526626837,4.83668990168502,0,0,0,0,5.05253804326789,0,4.06390039532213,4.8412067026751,0,5.40058904457393,0,0,0,0,0
"ASV1081",0,0,0,0,0,0,4.78452622867584,0,2.80722476191308,0,0,0,0,0,4.30008948847393,0,0,0,0,0,0,7.0787224614625,0
"ASV1093",0,0,0,2.97144265201368,6.06690151876802,5.98707200888057,0,0,2.05573790355261,4.85193828455149,0,0,0,0,4.72788574867043,0,0,0,4.00313776675354,0,0,0,0
"ASV1104",0,0,0,0,7.65255564227876,8.89662277189376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1119",0,0,0,0,7.02159984642754,0,0,3.52310435623361,0,0,0,5.00108595792925,0,0,0,0,0,0,0,0,0,6.17623045525234,8.22112881576676
"ASV1121",0,5.10238718511851,0,5.48339606252956,0,0,0,0,0,5.35755200461808,6.80645106337447,0,0,0,0,0,0,0,5.27688534109461,0,0,0,0
"ASV1126",0,4.0144180931824,0,0,0,0,4.97931606197555,4.64484143394898,4.14853397505757,4.4863373321174,0,0,6.47126607036954,0,0,0,0,0,0,0,0,0,0
"ASV1131",0,0,0,5.06310701658313,0,0,0,0,7.02746435193206,4.83161114249081,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1133",0,0,0,0,0,0,0,0,6.06593960241882,0,0,0,6.90646942561375,0,0,0,0,0,0,0,0,0,0
"ASV1148",0,6.45482114053697,3.79499408254712,6.0017226611667,0,4.07818564912911,5.09594682835865,0,0,1.93669741809148,0,0,0,0,0,5.68502958188577,0,0,0,0,0,0,0
"ASV1169",0,6.18107313019862,0,0,0,0,0,4.79106613024774,0,5.05845644248532,0,4.85858024541278,0,0,0,0,0,0,0,0,0,5.93597520814679,0
"ASV1180",0,0,0,4.94265758016862,0,0,0,0,0,0,0,0,0,0,6.26815548024623,0,0,0,4.77624299947123,0,0,0,0
"ASV1191",0,0,0,5.29944374363193,0,0,0,4.59260996226038,0,0,0,5.9005031247398,0,0,0,0,0,0,5.05614534968163,0,0,0,0
"ASV1193",0,5.24762817762153,0,5.800786328183,0,0,0,0,0,5.97311028175096,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1211",0,0,0,0,0,0,0,0,5.8380595113903,0,0,4.29826964421477,2.98954833248849,5.80835311973175,0,0,0,3.48595249488999,5.89899513533447,0,0,0,0
"ASV1221",0,0,0,0,0,0,0,3.73068297389194,0,3.84130225398094,0,4.94576111753471,0,0,0,5.23324133451195,6.25829025761661,0,0,5.80880152304203,0,0,0
"ASV1224",0,0,0,0,0,0,5.4206396833616,4.33725888044306,5.02572089249279,0,0,4.76579033942608,0,0,0,0,0,5.55208090660297,0,0,0,0,0
"ASV1226",0,0,0,0,4.23417222370787,0,0,2.39772162656645,0,4.51211193531347,0,0,0,0,0,0,6.92517538977533,5.97899250617011,0,0,0,5.22689686612221,0
"ASV1234",0,0,0,0,4.52435074505473,0,0,5.43173380283336,4.22360397414127,3.3635817160862,0,4.54158649086431,0,0,0,0,0,0,0,5.31339261545883,0,0,0
"ASV1251",0,0,0,0,7.37129949054042,8.63762409428266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1264",0,0,5.96521655524928,2.28329848211955,0,0,4.67628958875801,0,0,0,6.78526977704651,6.41510539560287,0,0,0,0,0,0,0,0,0,0,0
"ASV1265",0,0,0,0,0,0,0,0,0,0,0,3.14262995678689,0,5.82817339356516,0,0,0,0,0,0,0,7.51350759623847,6.91600457474342
"ASV1270",0,5.40043933529317,0,0,0,0,0,0,6.46186773476515,0,0,0,0,5.00034944775292,0,0,0,0,0,0,0,0,7.60446260201282
"ASV1272",0,0,0,0,0,0,5.58930671051652,0,0,0,6.15272734810946,6.35266834612576,0,0,0,0,0,0,0,0,0,3.31910548782075,0
"ASV1287",0,0,0,4.94265758016862,0,0,0,0,6.68635014693331,4.83161114249081,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV1293",0,0,0,0,0,0,4.9486231832881,5.23451217382887,0,0,0,0,0,6.17627947233502,0,5.06810264858766,0,0,0,5.11719072466124,0,0,0
"ASV1301",0,0,0,0,0,0,0,4.94063735938418,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0667942644304,7.49697931984368
"ASV1325",0,0,0,0,0,0,0,4.99798540436612,0,0,0,4.36305282827357,4.2227419478446,0,4.98181772773676,0,0,0,5.29046668760062,0,0,0,0
"ASV1338",0,0,0,0,0,4.76057742033203,0,3.14205208978173,4.14853397505757,0,0,2.87288808209666,0,0,0,0,5.78685558624265,0,0,4.86244581893371,7.83077926756893,5.39932278765369,0
"ASV1346",0,0,0,0,0,0,0,4.36243283017746,4.66181971440229,0,0,0,3.92600540870771,0,0,0,0,5.40058904457393,0,0,0,0,0
"ASV1352",0,0,0,0,0,0,3.36403289491186,4.1182928103135,0,0,0,4.56012561825677,4.93839655682106,0,0,2.82833147151461,0,5.68916601531491,0,0,0,4.72009110314195,2.8048845532333
"ASV1360",0,0,0,0,0,0,0,0,0,0,0,7.11844078835234,0,0,0,0,0,0,0,0,0,0,0
"ASV1400",0,4.16832014255712,0,0,0,6.60705316069206,0,0,0,5.28465470846164,0,0,0,0,0,4.69024523186079,4.9265576290646,5.45753443672049,0,3.39924791668738,0,0,0
"ASV1411",0,0,0,0,5.99758782184325,6.70448072920806,0,0,0,0,0,5.84866064463938,0,0,0,0,5.74092258197609,0,0,0,0,0,0
"ASV1419",0,4.06756399859258,0,2.79713958434303,6.15442539889741,6.08681248492774,0,0,4.76594668324218,0,0,4.61435506849781,0,0,3.03998399700734,4.57184365082093,0,0,2.61679211477303,0,0,0,0
"ASV1428",0,0,6.38461442725312,0,0,0,0,0,0,5.4931478642343,0,0,0,0,0,0,0,6.08218525585129,0,0,0,3.24064897857328,0
"ASV1439",0,0,0,0,0,0,0,0,5.31607393350517,0,0,0,6.52168529380897,0,0,0,0,0,1.6781710969062,0,0,0,0
"ASV1464",0,5.24762817762153,0,5.3210800853077,7.02159984642754,5.38759194449504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95934984989747,0
"ASV1490",0,0,0,0,0,0,6.32223939986947,0,4.87863026644631,0,0,3.86336530797815,0,0,0,0,0,5.9194308922262,0,0,0,0,0
"ASV1509",0,0,0,0,0,0,0,4.83668990168502,0,5.42694239447073,0,4.61435506849781,0,0,0,0,0,0,0,0,0,0,0
"ASV1532",0,0,0,0,0,0,0,0,0,4.3211992769679,5.49331675315093,4.76579033942608,0,0,0,0,5.32968643450836,5.45753443672049,0,0,0,0,0
"ASV1538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59460359407699,0
"ASV1546",0,0,0,0,0,0,0,4.07326168799614,4.76594668324218,0,7.14255269540607,5.19149035127725,0,0,0,0,0,0,0,0,0,0,0
"ASV1548",0,0,0,0,0,0,0,0,0,0,0,5.11831569014798,6.38674065482482,0,0,0,0,0,0,0,0,0,0
"ASV1568",0,0,0,0,0,0,0,4.08842877337711,0,0,0,0,0,5.49780543088325,4.10010270741272,0,0,6.28458413262491,0,0,0,0,0
"ASV1584",0,0,0,0,0,0,0,0,0,0,0,6.7778791447897,0,0,0,0,0,0,0,0,0,0,0
"ASV1592",0,0,0,4.38781353938317,5.71046712807041,0,0,4.92382459907573,0,0,0,0,4.6609449138415,0,0,0,0,0,0,0,0,0,0
"ASV1596",0,0,5.79310641545213,0,0,0,0,0,0,0,0,5.24975602451331,0,0,0,0,0,0,0,6.13136566312715,0,0,0
"ASV1649",0,0,0,0,0,0,0,4.45895321537287,2.74062803811296,0,0,0,0,0,0,0,6.89053252736262,0,0,0,0,0,0
"ASV1666",0,0,6.08203683000787,3.51267788146706,0,0,0,0,3.70029954519135,0,0,0,4.48914939988052,2.49854774890368,0,0,0,5.0580101358724,0,0,0,0,0
"ASV1685",0,0,2.895357115093,3.353809575739,0,0,0,4.43542173176912,0,0,0,4.57842953088192,0,0,0,0,0,0,0,0,0,5.55332350039348,0
"ASV1688",0,0,0,0,0,0,0,0,4.62537089663266,0,0,5.0145919079136,0,0,0,0,0,5.94951905226297,0,0,0,0,0
"ASV1713",0,3.33577222245556,0,4.52464399604426,0,6.06251634410939,0,0,0,0,0,2.61364525542524,4.69649464438244,0,0,0,0,0,4.90542617228321,0,0,0,0
"ASV1727",0,0,5.6490499919641,0,0,5.79398797052143,0,3.73068297389194,0,0,0,0,4.06848576770405,0,0,0,0,4.88197752286364,0,0,0,0,0
"ASV1735",0,0,3.2901591685423,0,0,0,0,4.16196080758117,0,0,0,0,0,0,0,5.06810264858766,0,0,5.53826542217897,0,0,0,0
"ASV1741",0,0,0,3.90534448265178,0,0,0,0,0,0,0,0,0,0,0,0,5.26624617713361,6.42683523793975,0,0,0,0,0
"ASV1752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35959991236616,0
"ASV1757",0,0,0,0,1.63060865475928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34561084657025,0
"ASV1758",0,0,0,0,6.06690151876802,0,0,0,0,0,0,5.47162625055281,0,0,0,0,5.88866601438649,0,0,0,0,0,0
"ASV1766",0,5.69877309824772,0,0,0,0,4.43191236213592,4.3871750361512,0,0,0,0,0,0,0,5.05049957213948,0,0,0,0,0,0,0
"ASV1767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50724596177081,5.62846413935774,0,4.40767355542197,0,0,0
