"T10-1-S","T10-2-S","T11-1-S","T11-2-S","T12-1-S","T12-2-S","T14-1-S","T14-2-S","T15-1-S","T15-2-S","T16-1-S","T16-2-S","T18-1-S","T18-2-S","T20-1-S","T20-2-S","T23-1-S","T23-2-S","T24-1-S","T24-2-S","T7-1-S","T8-1-S","T8-2-S"
"ASV104",0,6.37273969322915,5.56233180443936,4.6149988990436,5.82159684463338,0,6.79734719303806,6.98818744548737,7.16396220532275,5.59313643216686,5.44010026587186,7.17666883027376,7.77303566558798,0,4.68085225992934,4.86153871483996,4.95365943369086,6.307998432298,0,5.68823066044587,0,7.30762962643777,7.55937518222137
"ASV111",5.77156236838922,0,0,0,0,0,0,3.67148394223767,0,2.97612289798206,5.90032510604853,4.71705698364387,4.67882927482433,0,0,0,0,0,5.08760287474144,5.68823066044587,0,0,0
"ASV117",0,7.92820007558862,5.61498562811431,6.60143431329763,6.35248997638496,0,6.54376615864825,6.73226021921319,5.90800623702487,7.12917892263842,0,5.44194419190846,6.65414906345026,6.64709581761679,5.99770852356901,0,8.1680228498614,7.53546053930358,6.35181794843302,6.37542998225372,0,7.97078426952671,7.73184065806143
"ASV118",0,5.62977191253122,5.63211834704612,6.17212321048853,0,0,0,4.76298285938966,5.65128057618356,7.25280876313845,0,0,0,0,5.35575636059439,5.80536214762628,5.1303285859359,5.48518583210587,5.68944064133061,5.6402855623587,0,0,5.9279021297311
"ASV122",0,0,0,0,0,0,0,0,5.06707472381669,0,5.54463988434187,3.97810739415116,0,0,0,0,0,0,0,6.17688750367177,0,5.00753007543014,0
"ASV129",0,0,0,4.84148691766875,0,0,0,4.04244061342785,0,5.51880215285828,0,4.13473557298001,0,5.25585201024798,5.93895595974552,0,0,0,0,5.29286445122798,0,4.50199590757773,0
"ASV136",0,4.06756399859258,4.50225188701093,0,0,0,6.96774486385556,6.54979442756335,0,4.10111351710461,0,5.28361836077916,5.1455025453436,0,6.66245465303372,6.01954775340912,0,0,5.48019069410376,5.52179891655997,0,6.40028855878748,0
"ASV142",0,0,6.72520859099586,6.52891292681369,0,0,8.19556746378002,8.36685954807294,7.10892382421165,4.6806880595679,6.15272734810946,5.08028778895764,7.10140431748105,0,0,6.4267424163273,0,6.8178755522117,5.0719598507297,0,0,6.52138163737791,0
"ASV147",0,5.85808658154084,0,4.36716225075277,0,6.55575558058325,5.25491881517193,5.20001626534852,6.11276991030373,4.3211992769679,0,6.60116665880167,0,0,6.27608880373447,4.75688605611437,6.64663241044082,5.4714263809121,5.49199416705518,0,0,0,0
"ASV154",0,0,0,4.09310772764921,0,5.13143364187757,7.46730243332271,7.8079471846878,5.76454796398912,0,0,0,4.54871675285709,0,5.16386615295249,5.4230398155926,0,0,0,0,0,0,7.07395446161926
